,count,mean,std,min,25%,50%,75%,max,missing,clickbait_count,clickbait_mean,clickbait_std,clickbait_min,clickbait_25%,clickbait_50%,clickbait_75%,clickbait_max,non_clickbait_count,non_clickbait_mean,non_clickbait_std,non_clickbait_min,non_clickbait_25%,non_clickbait_50%,non_clickbait_75%,non_clickbait_max
v_cnn_27,1556.0,0.06570669283863753,0.1388576262378768,0.0,0.0,0.0142804095,0.06653211,1.4700505,0,780.0,0.05724979387007693,0.11522232575208945,0.0,0.0,0.012430006,0.0637641935,1.2942044,776.0,0.07420718406992267,0.15873952999495877,0.0,0.0,0.0162587525,0.0690336525,1.4700505
v_cnn_28,1556.0,0.20688169549842678,0.2874543995816064,0.0,0.0156058465,0.09780622,0.284987015,2.2950284,0,780.0,0.242224084164141,0.30379984423682227,0.0,0.02387489925,0.132635465,0.351062635,2.216246,776.0,0.17135712957154894,0.26552154559823954,0.0,0.007178420925,0.07372365,0.2128433725,2.2950284
v_cnn_29,1556.0,0.07983038866234125,0.1555247322797183,0.0,0.0,0.0206565855,0.09328320125,2.1351724,0,780.0,0.09854160667623076,0.1705133684446087,0.0,0.002294440875,0.0375491775,0.12295694875,1.9071808,776.0,0.06102272107106056,0.1363836880239429,0.0,0.0,0.0090123415,0.06433629,2.1351724
v_cnn_30,1556.0,0.04593501669717159,0.1365486994043699,0.0,0.0,0.0,0.030211785,2.8433015,0,780.0,0.0474486304376782,0.1185787540089734,0.0,0.0,0.000638331695,0.03677225825,1.4177501,776.0,0.044413600823981964,0.15255579823135967,0.0,0.0,0.0,0.02460063225,2.8433015
v_cnn_31,1556.0,0.18042138236014782,0.3004323574401423,0.0,0.013972508375,0.077793825,0.2269322725,4.148954,0,780.0,0.1638891220633846,0.25005064905242097,0.0,0.01601892425,0.080641587,0.2098876675,2.1598682,776.0,0.19703886049349226,0.34307711742233626,0.0,0.011183791,0.07437049000000001,0.24200920750000002,4.148954
v_cnn_32,1556.0,0.2344119133844987,0.3956521002292067,0.0,0.006674169075,0.08267280499999999,0.2801592625,2.9658694,0,780.0,0.236104221849859,0.4145753036552817,0.0,0.004790117975,0.071221165,0.27390275,2.9658694,776.0,0.23271088167962628,0.37593292120458294,0.0,0.0091085495,0.08753913199999999,0.293094365,2.7318795
v_cnn_33,1556.0,0.09313228544422429,0.15941734435790025,0.0,0.0,0.0258496545,0.112478573,1.3669646,0,780.0,0.09651251480856027,0.1625320187826938,0.0,0.0,0.031057995999999997,0.11689253625,1.3669646,776.0,0.08973463221718556,0.15625517644899786,0.0,0.0,0.0216557125,0.1057986205,1.1296996
v_cnn_34,1556.0,0.033730578422872755,0.11563027750621296,0.0,0.0,0.0,0.006274073725,1.344154,0,780.0,0.03895712797878205,0.12133859267562046,0.0,0.0,0.0,0.00940309,1.1034985,776.0,0.028477087889871133,0.10942033944815893,0.0,0.0,0.0,0.00433772755,1.344154
v_cnn_35,1556.0,0.03816003215705912,0.14062253699733257,0.0,0.0,0.0,0.0093585135,2.701437,0,780.0,0.04784368346746667,0.16925452168068814,0.0,0.0,0.0,0.0221244685,2.701437,776.0,0.028426465118247424,0.10340591269176948,0.0,0.0,0.0,0.0,1.0563748
v_cnn_36,1556.0,0.05232016078718284,0.1411494663185216,0.0,0.0,0.00571641385,0.041904593500000004,2.2402253,0,780.0,0.05926185909599642,0.16059009479245992,0.0,0.0,0.007720558,0.0420755685,2.2402253,776.0,0.04534268052832384,0.11813276506796143,0.0,0.0,0.0043703487,0.040884574,1.311932
v_cnn_37,1556.0,0.014532651310582904,0.0817728174328433,0.0,0.0,0.0,0.0022312919999999997,2.5018308,0,780.0,0.011271593109585896,0.041226408842368015,0.0,0.0,0.0,0.002212295625,0.56911594,776.0,0.017810519089935566,0.10810586271436058,0.0,0.0,0.0,0.0022659819249999996,2.5018308
v_cnn_38,1556.0,0.17208929166302053,0.32554220686311525,0.0,0.0047318759,0.058324024,0.18714451,3.2864175,0,780.0,0.2113264353130257,0.36250704183053833,0.0,0.01685764775,0.0849412755,0.24858189,2.9772794,776.0,0.13264989469523195,0.2782851370710114,0.0,0.0,0.0358774275,0.14331561,3.2864175
v_cnn_39,1556.0,0.06379833157669344,0.12577631809012482,0.0,0.0,0.0152951625,0.068200562,1.1347712,0,780.0,0.06675661619397949,0.12760646702490142,0.0,0.0,0.019258578499999998,0.07411316999999999,1.1347712,776.0,0.060824798069627574,0.12392058665084285,0.0,0.0,0.013217851999999999,0.06304140925,1.066635
v_cnn_40,1556.0,0.050264546659993574,0.13095379035558294,0.0,0.0,0.0050640155,0.0507948955,2.2646985,0,780.0,0.059800305700320515,0.1386886774136616,0.0,0.0,0.0104516085,0.06841941,2.2646985,776.0,0.04067963422255155,0.12202908536797678,0.0,0.0,0.0,0.0339081015,2.2337337
v_cnn_41,1556.0,0.0297690429356536,0.08447982024339136,0.0,0.0,0.0,0.024286540750000002,1.8241357,0,780.0,0.03375498540623974,0.0935750718828718,0.0,0.0,0.00047968724000000003,0.030994346750000002,1.8241357,776.0,0.025762554369858248,0.07406870749799571,0.0,0.0,0.0,0.018995355999999998,0.8982554
